"Date","Time","Open","High","Low","Close","Vol","OI"
08/01/2011,15:00,5.73,5.80,5.64,5.75,5824110,0
08/02/2011,15:00,5.74,5.84,5.45,5.47,7746600,0
08/03/2011,15:00,5.50,5.57,5.27,5.44,9006645,0
08/04/2011,15:00,5.30,5.38,4.93,4.95,15327980,0
08/05/2011,15:00,5.00,5.08,4.57,4.85,9821880,0
08/08/2011,15:00,4.64,4.89,4.62,4.73,13042860,0
08/09/2011,15:00,4.83,5.09,4.74,5.01,6666910,0
08/10/2011,15:00,5.09,5.09,4.73,4.76,7820735,0
08/11/2011,15:00,4.81,5.15,4.80,5.06,4182420,0
08/12/2011,15:00,5.12,5.43,5.07,5.26,5045100,0
08/15/2011,15:00,5.32,5.35,5.19,5.25,3692860,0
08/16/2011,15:00,5.23,5.31,5.17,5.22,2688440,0
08/17/2011,15:00,5.28,5.33,5.10,5.17,3218860,0
08/18/2011,15:00,5.00,5.03,4.69,4.85,5282845,0
08/19/2011,15:00,4.77,4.84,4.40,4.46,6876385,0
08/22/2011,15:00,4.62,4.76,4.34,4.39,4930905,0
08/23/2011,15:00,4.39,4.62,4.30,4.59,4344840,0
08/24/2011,15:00,4.62,4.79,4.57,4.77,3421190,0
08/25/2011,15:00,4.77,4.77,4.58,4.62,3401050,0
08/26/2011,15:00,4.54,4.79,4.41,4.75,3808780,0
08/29/2011,15:00,4.84,4.97,4.80,4.94,4016510,0
08/30/2011,15:00,4.90,4.95,4.82,4.93,1833295,0
08/31/2011,15:00,4.96,5.10,4.86,4.95,4118675,0
09/01/2011,15:00,4.93,4.97,4.77,4.80,4240425,0
09/02/2011,15:00,4.73,4.80,4.54,4.61,3853780,0
09/06/2011,15:00,4.50,4.64,4.46,4.59,4048800,0
09/07/2011,15:00,4.68,4.80,4.66,4.77,2295930,0
09/08/2011,15:00,4.72,4.81,4.66,4.72,2528485,0
09/09/2011,15:00,4.67,4.71,4.51,4.59,3346315,0
09/12/2011,15:00,4.50,4.66,4.49,4.58,2832855,0
09/13/2011,15:00,4.60,4.82,4.55,4.82,3632305,0
09/14/2011,15:00,4.85,4.97,4.76,4.87,4153885,0
09/15/2011,15:00,4.92,4.99,4.87,4.96,2812560,0
09/16/2011,15:00,4.96,5.17,4.90,5.16,7087870,0
09/19/2011,15:00,4.99,5.16,4.76,5.15,5786745,0
09/20/2011,15:00,5.20,5.32,5.13,5.20,5901755,0
09/21/2011,15:00,5.19,5.39,5.14,5.17,4937885,0
09/22/2011,15:00,5.03,5.22,4.98,5.13,3880010,0
09/23/2011,15:00,5.10,5.32,5.07,5.28,5781640,0
09/26/2011,15:00,5.30,5.30,4.98,5.10,4673575,0
